dates,num_trans
06/06/2019,31
05/06/2019,16
04/06/2019,13
03/06/2019,22
02/06/2019,16
01/06/2019,10
31/05/2019,34
30/05/2019,28
29/05/2019,32
28/05/2019,25
27/05/2019,24
26/05/2019,15
25/05/2019,11
24/05/2019,25
23/05/2019,34
22/05/2019,29
21/05/2019,17
20/05/2019,16
19/05/2019,17
18/05/2019,17
17/05/2019,26
16/05/2019,23
15/05/2019,16
14/05/2019,27
13/05/2019,30
12/05/2019,11
11/05/2019,17
10/05/2019,19
09/05/2019,81
08/05/2019,20
07/05/2019,15
06/05/2019,34
05/05/2019,10
04/05/2019,15
03/05/2019,35
02/05/2019,20
01/05/2019,20
30/04/2019,29
29/04/2019,34
28/04/2019,6
27/04/2019,10
26/04/2019,36
25/04/2019,40
24/04/2019,21
23/04/2019,2
22/04/2019,14
21/04/2019,1
20/04/2019,15
19/04/2019,12
18/04/2019,14
17/04/2019,19
16/04/2019,39
15/04/2019,19
14/04/2019,7
13/04/2019,9
12/04/2019,14
11/04/2019,20
10/04/2019,3
09/04/2019,12
08/04/2019,3
07/04/2019,13
06/04/2019,11
05/04/2019,6
04/04/2019,7
03/04/2019,2
02/04/2019,1
01/04/2019,7
31/03/2019,4
30/03/2019,10
29/03/2019,7
28/03/2019,3
27/03/2019,6
26/03/2019,6
25/03/2019,1
24/03/2019,1
22/03/2019,1
21/03/2019,6
20/03/2019,2
19/03/2019,8
16/03/2019,1
15/03/2019,9
14/03/2019,2
13/03/2019,4
12/03/2019,6
11/03/2019,1
08/03/2019,5
06/03/2019,1
01/03/2019,6
28/02/2019,8
27/02/2019,2
26/02/2019,6
25/02/2019,1
23/02/2019,4
22/02/2019,17
21/02/2019,8
20/02/2019,4
