trans_date,trans_amount
2020-05-22 13:35:38.519928+00:00,785
2020-05-22 13:34:20.114322+00:00,500.02
2020-05-22 13:22:34.892512+00:00,3144.5
2020-05-22 13:17:12.094016+00:00,997.29
2020-05-22 13:03:09.321944+00:00,63.92
2020-05-22 12:56:55.377923+00:00,49.5
2020-05-22 11:10:57.307161+00:00,229
2020-05-22 06:26:06.894403+00:00,359.48
2020-05-22 04:51:27.450436+00:00,3489
2020-05-22 04:44:19.719590+00:00,800
2020-05-22 03:48:23.621533+00:00,137.2
2020-05-22 03:41:27.647436+00:00,814.96
2020-05-22 03:19:28.231703+00:00,97.55
2020-05-22 02:30:06.459030+00:00,913.28
2020-05-22 02:09:44.179574+00:00,21
2020-05-22 02:08:44.901680+00:00,228
2020-05-22 02:00:10.042348+00:00,12
2020-05-22 01:50:46.166188+00:00,134
2020-05-22 01:49:12.646358+00:00,134.68
2020-05-22 01:42:02.820330+00:00,35.5
2020-05-22 01:21:53.209504+00:00,17
2020-05-22 01:20:44.962404+00:00,200
2020-05-22 01:19:51.040880+00:00,200
2020-05-21 23:40:02.173380+00:00,12
2020-05-21 23:34:09.058750+00:00,485.01
2020-05-21 23:24:50.267052+00:00,10
2020-05-21 22:58:25.702102+00:00,63
2020-05-21 22:51:25.031472+00:00,397.34
2020-05-21 22:39:17.510312+00:00,21
2020-05-21 22:31:29.968922+00:00,530
2020-05-21 22:14:04.460826+00:00,95
2020-05-21 22:02:43.365113+00:00,1
2020-05-21 22:02:28.715001+00:00,12
2020-05-21 21:17:27.286722+00:00,55
2020-05-21 21:04:05.186308+00:00,262
2020-05-21 20:59:18.418261+00:00,270
2020-05-21 20:44:36.513085+00:00,334.9
2020-05-21 20:36:05.164073+00:00,11.6
2020-05-21 20:33:42.466108+00:00,27
2020-05-21 20:33:00.181204+00:00,33.6
2020-05-21 20:27:53.740006+00:00,23
2020-05-21 20:18:12.201163+00:00,634.68
2020-05-21 20:14:03.805189+00:00,160
2020-05-21 20:10:30.013591+00:00,199
2020-05-21 20:04:22.629982+00:00,38
2020-05-21 20:02:17.024176+00:00,415
2020-05-21 20:00:29.911066+00:00,50
2020-05-21 19:59:09.620906+00:00,50
2020-05-21 19:53:45.584088+00:00,218.05
2020-05-21 19:25:33.274145+00:00,75
2020-05-21 19:18:17.455913+00:00,205.5
2020-05-21 18:57:05.446404+00:00,5373.8
2020-05-21 18:35:11.478658+00:00,215
2020-05-21 18:34:08.180136+00:00,74.15
2020-05-21 18:26:19.023857+00:00,59.8
2020-05-21 18:22:02.791549+00:00,73.29
2020-05-21 18:19:09.987556+00:00,578
2020-05-21 18:12:13.889760+00:00,4480
2020-05-21 17:59:42.493080+00:00,4031.32
2020-05-21 17:23:13.742918+00:00,100
2020-05-21 17:22:53.554236+00:00,10
2020-05-21 17:22:53.187939+00:00,154.94
2020-05-21 17:21:40.626153+00:00,119.5
2020-05-21 17:11:19.060009+00:00,325
2020-05-21 16:41:00.748975+00:00,294.5
2020-05-21 16:39:19.233109+00:00,139.8
2020-05-21 16:22:10.481711+00:00,12.06
2020-05-21 16:00:00.111114+00:00,11.6
2020-05-21 15:46:46.236510+00:00,60.99
2020-05-21 15:17:35.145146+00:00,2
2020-05-21 14:30:39.458651+00:00,33.8
2020-05-21 14:12:38.603812+00:00,2385
2020-05-21 13:12:59.149204+00:00,49.5
2020-05-21 11:47:23.233252+00:00,23
2020-05-21 11:39:14.045287+00:00,0.32
2020-05-21 07:03:24.486854+00:00,265.98
2020-05-21 03:49:09.786522+00:00,56.54
2020-05-21 03:39:35.689547+00:00,19.9
2020-05-21 03:33:16.001360+00:00,6.96
2020-05-21 03:03:02.398183+00:00,153
2020-05-21 02:44:30.152704+00:00,253
2020-05-21 02:34:43.274785+00:00,55.64
2020-05-21 02:29:47.211106+00:00,1149
2020-05-21 02:21:30.675633+00:00,100
2020-05-21 02:15:17.153880+00:00,599
2020-05-21 02:05:46.543106+00:00,389.7
2020-05-21 02:03:12.896397+00:00,180
2020-05-21 01:58:48.791934+00:00,254.99
2020-05-21 01:41:55.102143+00:00,199.9
2020-05-21 01:18:15.381795+00:00,4.49
2020-05-21 01:13:16.570944+00:00,64.52
2020-05-21 00:37:01.869961+00:00,11.6
2020-05-21 00:31:00.432675+00:00,251.63
2020-05-21 00:29:04.505188+00:00,170.52
2020-05-20 23:43:14.174757+00:00,92
2020-05-20 23:39:56.315431+00:00,11.6
2020-05-20 23:38:41.684094+00:00,300
2020-05-20 23:31:53.330166+00:00,12
2020-05-20 23:20:08.238376+00:00,312.5
2020-05-20 23:14:42.851887+00:00,1311.3
2020-05-20 23:06:28.055636+00:00,24.94
